Occupation Level,Skill Level,Occupation Code,Occupation,"Employment level
May 2018 ('000)","Projected employment level
May 2023 ('000)","Projected employment growth 
five years to May 2023 - ('000)","Projected employment growth 
five years to May 2023 - (%)",,,,,,,,,
4,1,2252,ICT Sales Professionals,16.5,16.3,-0.2,-1.1,,,,,,,,,
4,1,2253,Public Relations Professionals,21.8,22.0,0.1,0.7,,,,,,,,,
4,1,2254,Technical Sales Representatives,34.3,33.8,-0.6,-1.7,,,,,,,,,
4,1,2250,"Sales, Marketing and Public Relations Professionals nfd",0.1,0.1,0.0,3.6,,,,,,,,,
3, ,220,"Business, Human Resource and Marketing Professionals nfd",0.1,0.1,0.0,4.2,,,,,,,,,
4,"1,2",2200,"Business, Human Resource and Marketing Professionals nfd",0.1,0.1,0.0,4.2,,,,,,,,,
2, ,23,"Design, Engineering, Science and Transport Professionals",425.4,460.0,34.7,8.1,,,,,,,,,
3, ,231,Air and Marine Transport Professionals,28.8,30.2,1.4,4.8,,,,,,,,,
4,1,2311,Air Transport Professionals,19.4,20.5,1.1,5.6,,,,,,,,,
4,1,2312,Marine Transport Professionals,8.8,9.1,0.3,3.4,,,,,,,,,
4,1,2310,Air and Marine Transport Professionals nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,232,"Architects, Designers, Planners and Surveyors",134.0,145.9,11.9,8.9,,,,,,,,,
4,1,2321,Architects and Landscape Architects,22.3,23.9,1.7,7.4,,,,,,,,,
4,1,2322,Surveyors and Spatial Scientists,12.3,11.9,-0.4,-3.2,,,,,,,,,
4,1,2323,"Fashion, Industrial and Jewellery Designers",12.2,12.2,0.0,0.0,,,,,,,,,
4,1,2324,"Graphic and Web Designers, and Illustrators",59.5,67.0,7.5,12.6,,,,,,,,,
4,1,2325,Interior Designers,14.0,16.1,2.1,14.9,,,,,,,,,
4,1,2326,Urban and Regional Planners,13.8,14.9,1.1,7.6,,,,,,,,,
4,1,2320,"Architects, Designers, Planners and Surveyors nfd",0.3,0.3,0.0,0.0,,,,,,,,,
3, ,233,Engineering Professionals,149.5,157.0,7.5,5.0,,,,,,,,,
4,1,2331,Chemical and Materials Engineers,7.4,8.2,0.8,11.0,,,,,,,,,
4,1,2332,Civil Engineering Professionals,53.3,60.5,7.2,13.5,,,,,,,,,
4,1,2333,Electrical Engineers,18.8,18.3,-0.5,-2.6,,,,,,,,,
4,1,2334,Electronics Engineers,4.1,3.9,-0.2,-5.0,,,,,,,,,
4,1,2335,"Industrial, Mechanical and Production Engineers",30.3,28.1,-2.2,-7.2,,,,,,,,,
4,1,2336,Mining Engineers,9.5,8.9,-0.5,-5.7,,,,,,,,,
4,1,2339,Other Engineering Professionals,14.2,16.6,2.4,17.1,,,,,,,,,
4,1,2330,Engineering Professionals nfd,11.6,12.1,0.5,4.5,,,,,,,,,
3, ,234,Natural and Physical Science Professionals,114.7,128.5,13.9,12.1,,,,,,,,,
4,1,2341,Agricultural and Forestry Scientists,8.3,9.3,1.0,12.4,,,,,,,,,
4,1,2342,"Chemists, and Food and Wine Scientists",8.7,9.3,0.5,6.3,,,,,,,,,
4,1,2343,Environmental Scientists,25.3,28.1,2.8,11.3,,,,,,,,,
4,1,2344,"Geologists, Geophysicists and Hydrogeologists",12.1,14.8,2.6,21.6,,,,,,,,,
4,1,2345,Life Scientists,9.6,10.2,0.6,6.3,,,,,,,,,
4,1,2346,Medical Laboratory Scientists,24.2,25.7,1.5,6.3,,,,,,,,,
4,1,2347,Veterinarians,10.5,12.1,1.6,15.0,,,,,,,,,
4,1,2349,Other Natural and Physical Science Professionals,12.6,14.7,2.0,16.0,,,,,,,,,
4,1,2340,Natural and Physical Science Professionals nfd,6.0,7.1,1.1,18.5,,,,,,,,,
3, ,230,"Design, Engineering, Science and Transport Professionals nfd",0.1,0.1,0.0,0.0,,,,,,,,,
4,1,2300,"Design, Engineering, Science and Transport Professionals nfd",0.1,0.1,0.0,0.0,,,,,,,,,
2, ,24,Education Professionals,592.2,645.1,52.9,8.9,,,,,,,,,
3, ,241,School Teachers,426.1,472.1,45.9,10.8,,,,,,,,,
4,1,2411,Early Childhood (Pre-primary School) Teachers,40.8,49.8,9.0,22.0,,,,,,,,,
4,1,2412,Primary School Teachers,169.4,185.8,16.3,9.6,,,,,,,,,
4,1,2413,Middle School Teachers,1.1,1.1,0.0,1.8,,,,,,,,,
4,1,2414,Secondary School Teachers,138.3,148.1,9.9,7.1,,,,,,,,,
4,1,2415,Special Education Teachers,21.0,22.1,1.0,4.9,,,,,,,,,
4,1,2410,School Teachers nfd,59.3,69.0,9.7,16.3,,,,,,,,,
3, ,242,Tertiary Education Teachers,85.3,85.0,-0.3,-0.4,,,,,,,,,
4,1,2421,University Lecturers and Tutors,53.8,58.3,4.5,8.3,,,,,,,,,
4,1,2422,Vocational Education Teachers,30.4,25.7,-4.7,-15.3,,,,,,,,,
4,1,2420,Tertiary Education Teachers nfd,0.7,0.6,-0.1,-17.8,,,,,,,,,
3, ,249,Miscellaneous Education Professionals,73.4,80.1,6.7,9.1,,,,,,,,,
4,1,2491,Education Advisers and Reviewers,28.4,33.3,4.9,17.3,,,,,,,,,
4,1,2492,Private Tutors and Teachers,39.7,41.8,2.2,5.5,,,,,,,,,
4,1,2493,Teachers of English to Speakers of Other Languages,5.1,4.7,-0.4,-7.4,,,,,,,,,
4,1,2490,Miscellaneous Education Professionals nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,240,Education Professionals nfd,3.5,4.1,0.6,16.7,,,,,,,,,
4,1,2400,Education Professionals nfd,3.5,4.1,0.6,16.7,,,,,,,,,
2, ,25,Health Professionals,608.0,707.4,99.4,16.3,,,,,,,,,
3, ,251,Health Diagnostic and Promotion Professionals,94.2,104.8,10.6,11.3,,,,,,,,,
4,1,2511,Nutrition Professionals,7.5,8.9,1.3,17.6,,,,,,,,,
4,1,2512,Medical Imaging Professionals,20.5,22.8,2.3,11.3,,,,,,,,,
4,1,2513,Occupational and Environmental Health Professionals,25.0,27.3,2.3,9.2,,,,,,,,,
4,1,2514,Optometrists and Orthoptists,7.3,8.0,0.7,9.7,,,,,,,,,
4,1,2515,Pharmacists,25.5,27.4,1.9,7.5,,,,,,,,,
4,1,2519,Other Health Diagnostic and Promotion Professionals,7.9,10.0,2.1,26.3,,,,,,,,,
4,1,2510,Health Diagnostic and Promotion Professionals nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,252,Health Therapy Professionals,86.6,104.1,17.5,20.2,,,,,,,,,
4,1,2521,Chiropractors and Osteopaths,5.2,6.2,1.0,18.6,,,,,,,,,
4,1,2522,Complementary Health Therapists,7.2,8.0,0.7,10.2,,,,,,,,,
4,1,2523,Dental Practitioners,16.3,19.1,2.7,16.7,,,,,,,,,
4,1,2524,Occupational Therapists,17.5,20.0,2.6,14.6,,,,,,,,,
4,1,2525,Physiotherapists,25.0,31.2,6.2,24.9,,,,,,,,,
4,1,2526,Podiatrists,3.6,4.3,0.6,17.2,,,,,,,,,
4,1,2527,Audiologists and Speech Pathologists \ Therapists,9.5,13.2,3.6,38.3,,,,,,,,,
4,1,2520,Health Therapy Professionals nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,253,Medical Practitioners,100.9,112.2,11.3,11.2,,,,,,,,,
4,1,2531,General Practitioners and Resident Medical Officers,60.4,67.8,7.4,12.2,,,,,,,,,
4,1,2532,Anaesthetists,5.1,6.0,0.8,16.6,,,,,,,,,
4,1,2533,Specialist Physicians,7.2,7.7,0.5,7.6,,,,,,,,,
4,1,2534,Psychiatrists,3.2,3.2,0.0,-0.1,,,,,,,,,
4,1,2535,Surgeons,5.9,6.0,0.1,2.0,,,,,,,,,
4,1,2539,Other Medical Practitioners,17.6,19.9,2.3,13.1,,,,,,,,,
4,1,2530,Medical Practitioners nfd,1.5,1.6,0.1,9.0,,,,,,,,,
3, ,254,Midwifery and Nursing Professionals,326.2,386.1,59.9,18.4,,,,,,,,,
4,1,2541,Midwives,19.9,23.2,3.3,16.6,,,,,,,,,
4,1,2542,Nurse Educators and Researchers,6.6,7.7,1.1,16.9,,,,,,,,,
4,1,2543,Nurse Managers,21.7,25.8,4.1,19.0,,,,,,,,,
4,1,2544,Registered Nurses,279.6,330.9,51.4,18.4,,,,,,,,,
4,1,2540,Midwifery and Nursing Professionals nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,250,Health Professionals nfd,0.2,0.2,0.0,0.0,,,,,,,,,
4,1,2500,Health Professionals nfd,0.2,0.2,0.0,0.0,,,,,,,,,
2, ,26,ICT Professionals,275.8,319.8,44.0,16.0,,,,,,,,,
3, ,261,"Business and Systems Analysts, and Programmers",160.2,191.0,30.8,19.2,,,,,,,,,
4,1,2611,ICT Business and Systems Analysts,23.8,26.1,2.3,9.5,,,,,,,,,
4,1,2612,Multimedia Specialists and Web Developers,15.0,18.0,3.1,20.5,,,,,,,,,
4,1,2613,Software and Applications Programmers,121.3,146.8,25.5,21.0,,,,,,,,,
4,1,2610,"Business and Systems Analysts, and Programmers nfd",0.1,0.1,0.0,19.5,,,,,,,,,
3, ,262,"Database and Systems Administrators, and ICT Security Specialists",43.9,47.3,3.4,7.6,,,,,,,,,
