Occupation Level,Skill Level,Occupation Code,Occupation,"Employment level
May 2018 ('000)","Projected employment level
May 2023 ('000)","Projected employment growth 
five years to May 2023 - ('000)","Projected employment growth 
five years to May 2023 - (%)",,,,,,,,,
4,4,8214,Insulation and Home Improvement Installers,24.2,26.1,2.0,8.1,,,,,,,,,
4,5,8215,Paving and Surfacing Labourers,8.1,8.2,0.1,1.4,,,,,,,,,
4,4,8216,Railway Track Workers,3.6,4.0,0.4,10.1,,,,,,,,,
4,4,8217,Structural Steel Construction Workers,27.5,31.4,3.9,14.2,,,,,,,,,
4,5,8219,Other Construction and Mining Labourers,6.5,6.7,0.3,4.2,,,,,,,,,
4,"4,5",8210,Construction and Mining Labourers nfd,0.3,0.3,0.0,1.3,,,,,,,,,
2, ,83,Factory Process Workers,205.7,208.6,3.0,1.4,,,,,,,,,
3, ,831,Food Process Workers,58.0,61.5,3.5,6.0,,,,,,,,,
4,5,8311,Food and Drink Factory Workers,31.5,34.7,3.2,10.1,,,,,,,,,
4,4,8312,"Meat Boners and Slicers, and Slaughterers",7.1,7.1,0.1,0.9,,,,,,,,,
4,5,8313,"Meat, Poultry and Seafood Process Workers",20.4,20.6,0.2,1.0,,,,,,,,,
4,"4,5",8310,Food Process Workers nfd,0.1,0.1,0.0,1.2,,,,,,,,,
3, ,832,Packers and Product Assemblers,98.4,101.5,3.1,3.2,,,,,,,,,
4,5,8321,Packers,64.8,65.8,1.0,1.6,,,,,,,,,
4,5,8322,Product Assemblers,33.8,35.9,2.1,6.3,,,,,,,,,
4,5,8320,Packers and Product Assemblers nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,839,Miscellaneous Factory Process Workers,43.0,39.5,-3.4,-8.0,,,,,,,,,
4,5,8391,Metal Engineering Process Workers,12.3,10.5,-1.8,-14.6,,,,,,,,,
4,5,8392,Plastics and Rubber Factory Workers,4.3,3.7,-0.6,-13.5,,,,,,,,,
4,4,8393,Product Quality Controllers,12.1,11.7,-0.4,-2.9,,,,,,,,,
4,5,8394,Timber and Wood Process Workers,3.8,3.3,-0.4,-11.7,,,,,,,,,
4,5,8399,Other Factory Process Workers,10.6,10.4,-0.3,-2.5,,,,,,,,,
4,"4,5",8390,Miscellaneous Factory Process Workers nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,830,Factory Process Workers nfd,4.2,4.0,-0.2,-4.6,,,,,,,,,
4,"4,5",8300,Factory Process Workers nfd,4.2,4.0,-0.2,-4.6,,,,,,,,,
2, ,84,"Farm, Forestry and Garden Workers",113.5,114.3,0.8,0.7,,,,,,,,,
3, ,841,"Farm, Forestry and Garden Workers",113.5,114.3,0.8,0.7,,,,,,,,,
4,5,8411,Aquaculture Workers,1.4,1.4,0.0,2.5,,,,,,,,,
4,5,8412,Crop Farm Workers,25.9,27.2,1.3,5.1,,,,,,,,,
4,4,8413,Forestry and Logging Workers,2.6,2.6,0.0,-0.4,,,,,,,,,
4,5,8414,Garden and Nursery Labourers,32.2,32.2,0.1,0.2,,,,,,,,,
4,5,8415,Livestock Farm Workers,28.2,26.6,-1.6,-5.7,,,,,,,,,
4,5,8416,Mixed Crop and Livestock Farm Workers,3.9,3.9,-0.1,-1.6,,,,,,,,,
4,5,8419,"Other Farm, Forestry and Garden Workers",15.5,16.5,1.0,6.6,,,,,,,,,
4,"4,5",8410,"Farm, Forestry and Garden Workers nfd",5.5,5.5,0.0,0.0,,,,,,,,,
2, ,85,Food Preparation Assistants,188.6,209.4,20.8,11.1,,,,,,,,,
3, ,851,Food Preparation Assistants,188.6,209.4,20.8,11.1,,,,,,,,,
4,5,8511,Fast Food Cooks,45.1,49.9,4.8,10.6,,,,,,,,,
4,5,8512,Food Trades Assistants,4.3,4.3,0.0,0.0,,,,,,,,,
4,5,8513,Kitchenhands,137.8,153.9,16.1,11.7,,,,,,,,,
4,5,8510,Food Preparation Assistants nfd,1.3,1.3,0.0,0.0,,,,,,,,,
2, ,89,Other Labourers,228.9,240.7,11.8,5.1,,,,,,,,,
3, ,891,Freight Handlers and Shelf Fillers,89.0,96.3,7.3,8.2,,,,,,,,,
4,5,8911,Freight and Furniture Handlers,16.9,17.9,1.0,5.8,,,,,,,,,
4,5,8912,Shelf Fillers,73.0,79.3,6.3,8.6,,,,,,,,,
4,5,8910,Freight Handlers and Shelf Fillers nfd,0.1,0.1,0.0,0.0,,,,,,,,,
3, ,899,Miscellaneous Labourers,143.2,147.7,4.5,3.2,,,,,,,,,
4,5,8991,Caretakers,5.5,5.3,-0.2,-2.7,,,,,,,,,
4,4,8992,Deck and Fishing Hands,7.9,7.9,0.0,0.0,,,,,,,,,
4,5,8993,Handypersons,43.7,47.9,4.2,9.5,,,,,,,,,
4,4,8994,Motor Vehicle Parts and Accessories Fitters,10.5,10.5,0.0,-0.4,,,,,,,,,
4,4,8995,Printing Assistants and Table Workers,2.2,2.0,-0.2,-10.4,,,,,,,,,
4,5,8996,Recycling and Rubbish Collectors,2.7,2.4,-0.3,-10.4,,,,,,,,,
4,5,8997,Vending Machine Attendants,7.6,7.3,-0.3,-4.0,,,,,,,,,
4,5,8999,Other Miscellaneous Labourers,61.7,63.1,1.4,2.2,,,,,,,,,
3, ,890,Other Labourers nfd,0.1,0.1,0.0,0.0,,,,,,,,,
4,"4,5",8900,Other Labourers nfd,0.1,0.1,0.0,0.0,,,,,,,,,
4,"4,5",8990,Miscellaneous Labourers nfd,0.1,0.1,0.0,-0.4,,,,,,,,,
2, ,80,Labourers nfd,5.7,5.8,0.1,1.0,,,,,,,,,
3, ,800,Labourers nfd,5.7,5.8,0.1,1.0,,,,,,,,,
4,"4,5",8000,Labourers nfd,5.7,5.8,0.1,1.0,,,,,,,,,
0,,-,ALL OCCUPATIONS,"12,564.0","13,450.1",886.1,7.1,,,,,,,,,
,,,,,,,,,,,,,,,,
Updated on:,14/9/18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
